Entity,Code,Year,Coal per capita (kWh)
Africa,,1965,1010.4603881835938
Africa,,1966,984.3585815429688
Africa,,1967,981.1675415039062
Africa,,1968,994.8810424804688
Africa,,1969,978.623291015625
Africa,,1970,992.5967407226562
Africa,,1971,1026.8880615234375
Africa,,1972,1003.5864868164062
Africa,,1973,1040.3668212890625
Africa,,1974,1054.50390625
Africa,,1975,1087.7935791015625
Africa,,1976,1128.8992919921875
Africa,,1977,1122.458740234375
Africa,,1978,1060.8602294921875
Africa,,1979,1095.1317138671875
Africa,,1980,1141.0008544921875
Africa,,1981,1297.5382080078125
Africa,,1982,1391.1275634765625
Africa,,1983,1375.6488037109375
Africa,,1984,1430.4017333984375
Africa,,1985,1434.794677734375
Africa,,1986,1427.1080322265625
Africa,,1987,1427.0933837890625
Africa,,1988,1491.4337158203125
Africa,,1989,1362.0283203125
Africa,,1990,1392.3671875
Africa,,1991,1318.8692626953125
Africa,,1992,1292.4237060546875
Africa,,1993,1278.4178466796875
Africa,,1994,1278.7957763671875
Africa,,1995,1286.0863037109375
Africa,,1996,1271.7945556640625
Africa,,1997,1272.3514404296875
Africa,,1998,1213.0941162109375
Africa,,1999,1220.4744873046875
Africa,,2000,1188.3468017578125
Africa,,2001,1174.5374755859375
Africa,,2002,1097.6427001953125
Africa,,2003,1166.0078125
Africa,,2004,1252.0791015625
Africa,,2005,1134.167724609375
Africa,,2006,1122.322998046875
Africa,,2007,1112.781982421875
Africa,,2008,1195.521484375
Africa,,2009,1160.857666015625
Africa,,2010,1120.78857421875
Africa,,2011,1075.8521728515625
Africa,,2012,1022.0624389648438
Africa,,2013,1006.3359375
Africa,,2014,1027.2227783203125
Africa,,2015,946.3817138671875
Africa,,2016,977.9458618164062
Africa,,2017,952.4560546875
Africa,,2018,911.9685668945312
Africa,,2019,941.3275146484375
Africa,,2020,863.7197875976562
Africa,,2021,850.9298095703125
Algeria,DZA,1965,64.86397552490234
Algeria,DZA,1966,61.292945861816406
Algeria,DZA,1967,45.55624008178711
Algeria,DZA,1968,46.81422805786133
Algeria,DZA,1969,57.89474868774414
Algeria,DZA,1970,66.73283386230469
Algeria,DZA,1971,17.985841751098633
Algeria,DZA,1972,15.216545104980469
Algeria,DZA,1973,17.026918411254883
Algeria,DZA,1974,13.683184623718262
Algeria,DZA,1975,16.806655883789062
Algeria,DZA,1976,31.992063522338867
Algeria,DZA,1977,40.34772872924805
Algeria,DZA,1978,19.916290283203125
Algeria,DZA,1979,44.90395736694336
Algeria,DZA,1980,38.722984313964844
Algeria,DZA,1981,26.399423599243164
Algeria,DZA,1982,474.80059814453125
Algeria,DZA,1983,410.5961608886719
Algeria,DZA,1984,441.3971252441406
Algeria,DZA,1985,446.918701171875
Algeria,DZA,1986,445.5188903808594
Algeria,DZA,1987,517.5565795898438
Algeria,DZA,1988,473.41265869140625
Algeria,DZA,1989,389.5783996582031
Algeria,DZA,1990,297.53515625
Algeria,DZA,1991,299.5552978515625
Algeria,DZA,1992,347.6737060546875
Algeria,DZA,1993,276.9095764160156
Algeria,DZA,1994,255.57015991210938
Algeria,DZA,1995,250.7355499267578
Algeria,DZA,1996,116.03607940673828
Algeria,DZA,1997,200.2005157470703
Algeria,DZA,1998,211.08511352539062
Algeria,DZA,1999,222.92784118652344
Algeria,DZA,2000,181.7056427001953
Algeria,DZA,2001,207.07427978515625
Algeria,DZA,2002,268.341552734375
Algeria,DZA,2003,218.43991088867188
Algeria,DZA,2004,257.2020568847656
Algeria,DZA,2005,208.39454650878906
Algeria,DZA,2006,304.91534423828125
Algeria,DZA,2007,257.673095703125
Algeria,DZA,2008,253.49142456054688
Algeria,DZA,2009,159.96487426757812
Algeria,DZA,2010,100.20999908447266
Algeria,DZA,2011,87.23744201660156
Algeria,DZA,2012,90.84017181396484
Algeria,DZA,2013,48.17864227294922
Algeria,DZA,2014,53.483367919921875
Algeria,DZA,2015,38.93448257446289
Algeria,DZA,2016,14.05302906036377
Algeria,DZA,2017,51.140419006347656
Algeria,DZA,2018,137.7034912109375
Algeria,DZA,2019,111.56444549560547
Algeria,DZA,2020,109.83432006835938
Algeria,DZA,2021,107.65472412109375
Argentina,ARG,1965,381.55169677734375
Argentina,ARG,1966,309.9407958984375
Argentina,ARG,1967,343.442138671875
Argentina,ARG,1968,328.8564758300781
Argentina,ARG,1969,387.8866882324219
Argentina,ARG,1970,490.88446044921875
Argentina,ARG,1971,423.6490783691406
Argentina,ARG,1972,350.9201354980469
Argentina,ARG,1973,379.0047302246094
Argentina,ARG,1974,464.44818115234375
Argentina,ARG,1975,445.02587890625
Argentina,ARG,1976,443.2791442871094
Argentina,ARG,1977,412.9004821777344
Argentina,ARG,1978,495.8861083984375
Argentina,ARG,1979,455.08544921875
Argentina,ARG,1980,399.497314453125
Argentina,ARG,1981,372.6542053222656
Argentina,ARG,1982,370.4199523925781
Argentina,ARG,1983,330.8026428222656
Argentina,ARG,1984,241.62489318847656
Argentina,ARG,1985,350.7911682128906
Argentina,ARG,1986,394.4546203613281
Argentina,ARG,1987,430.9740905761719
Argentina,ARG,1988,434.88507080078125
Argentina,ARG,1989,463.5655517578125
Argentina,ARG,1990,376.0466003417969
Argentina,ARG,1991,326.31005859375
Argentina,ARG,1992,362.9111328125
Argentina,ARG,1993,237.5614776611328
Argentina,ARG,1994,205.3650665283203
Argentina,ARG,1995,212.87803649902344
Argentina,ARG,1996,220.3578643798828
Argentina,ARG,1997,171.8495330810547
Argentina,ARG,1998,228.41436767578125
Argentina,ARG,1999,271.0782165527344
Argentina,ARG,2000,203.7560272216797
Argentina,ARG,2001,165.17091369628906
Argentina,ARG,2002,121.71136474609375
Argentina,ARG,2003,146.86737060546875
Argentina,ARG,2004,247.31961059570312
Argentina,ARG,2005,281.8416442871094
Argentina,ARG,2006,252.57958984375
Argentina,ARG,2007,361.864990234375
Argentina,ARG,2008,437.02587890625
Argentina,ARG,2009,237.655029296875
Argentina,ARG,2010,329.4248962402344
Argentina,ARG,2011,353.7867736816406
Argentina,ARG,2012,327.3648376464844
Argentina,ARG,2013,354.045166015625
Argentina,ARG,2014,372.7168273925781
Argentina,ARG,2015,367.1265563964844
Argentina,ARG,2016,280.1441650390625
Argentina,ARG,2017,285.0728759765625
Argentina,ARG,2018,309.0350036621094
Argentina,ARG,2019,181.4167022705078
Argentina,ARG,2020,221.59869384765625
Argentina,ARG,2021,400.2538146972656
Asia,,1965,1374.9964599609375
Asia,,1966,1419.4635009765625
Asia,,1967,1341.4315185546875
Asia,,1968,1328.3985595703125
Asia,,1969,1462.529541015625
Asia,,1970,1606.52099609375
Asia,,1971,1685.528564453125
Asia,,1972,1710.846435546875
Asia,,1973,1711.2283935546875
Asia,,1974,1714.1534423828125
Asia,,1975,1813.0877685546875
Asia,,1976,1817.5667724609375
Asia,,1977,1902.0362548828125
Asia,,1978,1956.7047119140625
Asia,,1979,2014.3642578125
Asia,,1980,2091.9755859375
Asia,,1981,2119.418212890625
Asia,,1982,2161.69580078125
Asia,,1983,2253.923095703125
Asia,,1984,2407.715576171875
Asia,,1985,2736.89013671875
Asia,,1986,2792.38037109375
Asia,,1987,2928.271484375
Asia,,1988,3061.4404296875
Asia,,1989,3124.1572265625
Asia,,1990,3121.43408203125
Asia,,1991,3186.93017578125
Asia,,1992,3234.07177734375
Asia,,1993,3329.8623046875
Asia,,1994,3436.1923828125
Asia,,1995,3437.962890625
Asia,,1996,3530.909423828125
Asia,,1997,3486.539794921875
Asia,,1998,3432.76025390625
Asia,,1999,3470.717529296875
Asia,,2000,3560.418212890625
Asia,,2001,3681.2529296875
Asia,,2002,3916.08544921875
Asia,,2003,4428.453125
Asia,,2004,4923.2919921875
Asia,,2005,5530.85009765625
Asia,,2006,5897.3466796875
Asia,,2007,6335.00244140625
Asia,,2008,6437.6298828125
Asia,,2009,6577.3837890625
Asia,,2010,6817.4306640625
Asia,,2011,7255.13037109375
Asia,,2012,7355.890625
Asia,,2013,7429.2490234375
Asia,,2014,7497.75927734375
Asia,,2015,7364.1962890625
Asia,,2016,7293.841796875
Asia,,2017,7357.498046875
Asia,,2018,7474.0869140625
Asia,,2019,7503.9404296875
Asia,,2020,7349.66064453125
Asia,,2021,7702.97998046875
Australia,AUS,1965,17857.724609375
Australia,AUS,1966,18061.037109375
Australia,AUS,1967,18088.77734375
Australia,AUS,1968,18148.314453125
Australia,AUS,1969,18314.484375
Australia,AUS,1970,18110.990234375
Australia,AUS,1971,17844.48046875
Australia,AUS,1972,18342.4609375
Australia,AUS,1973,18834.876953125
Australia,AUS,1974,19408.9140625
Australia,AUS,1975,19787.6953125
Australia,AUS,1976,20220.814453125
Australia,AUS,1977,20874.90625
Australia,AUS,1978,21184.12109375
Australia,AUS,1979,21892.84765625
