Entity,Code,Year,Gas per capita (kWh)
Africa,,1965,29.810510635375977
Africa,,1966,32.50480270385742
Africa,,1967,31.32707405090332
Africa,,1968,30.957361221313477
Africa,,1969,35.26673126220703
Africa,,1970,42.703060150146484
Africa,,1971,49.34605407714844
Africa,,1972,64.44154357910156
Africa,,1973,100.62931060791016
Africa,,1974,110.29093170166016
Africa,,1975,129.35049438476562
Africa,,1976,143.10028076171875
Africa,,1977,155.76634216308594
Africa,,1978,216.1835174560547
Africa,,1979,321.34735107421875
Africa,,1980,392.3580627441406
Africa,,1981,466.3047180175781
Africa,,1982,489.5174865722656
Africa,,1983,523.2130126953125
Africa,,1984,487.306884765625
Africa,,1985,508.2563781738281
Africa,,1986,555.1232299804688
Africa,,1987,557.1516723632812
Africa,,1988,600.5615234375
Africa,,1989,605.4827880859375
Africa,,1990,632.41943359375
Africa,,1991,620.43603515625
Africa,,1992,633.9542846679688
Africa,,1993,605.1657104492188
Africa,,1994,617.38623046875
Africa,,1995,643.0540771484375
Africa,,1996,658.4407958984375
Africa,,1997,629.4969482421875
Africa,,1998,646.4435424804688
Africa,,1999,636.7870483398438
Africa,,2000,686.6007080078125
Africa,,2001,763.791259765625
Africa,,2002,787.744140625
Africa,,2003,815.7156982421875
Africa,,2004,876.0692749023438
Africa,,2005,881.7091064453125
Africa,,2006,898.033447265625
Africa,,2007,934.6305541992188
Africa,,2008,946.8812255859375
Africa,,2009,928.7444458007812
Africa,,2010,943.642822265625
Africa,,2011,994.483642578125
Africa,,2012,1047.9075927734375
Africa,,2013,1041.583740234375
Africa,,2014,1043.287841796875
Africa,,2015,1120.8697509765625
Africa,,2016,1129.801513671875
Africa,,2017,1164.3778076171875
Africa,,2018,1209.7540283203125
Africa,,2019,1184.7506103515625
Africa,,2020,1145.736572265625
Africa,,2021,1196.8193359375
Algeria,DZA,1965,592.0302124023438
Algeria,DZA,1966,598.2696533203125
Algeria,DZA,1967,564.0857543945312
Algeria,DZA,1968,576.2215576171875
Algeria,DZA,1969,736.16064453125
Algeria,DZA,1970,672.718994140625
Algeria,DZA,1971,742.960693359375
Algeria,DZA,1972,839.3386840820312
Algeria,DZA,1973,1136.81591796875
Algeria,DZA,1974,1280.232666015625
Algeria,DZA,1975,1715.46875
Algeria,DZA,1976,1971.666748046875
Algeria,DZA,1977,2041.8280029296875
Algeria,DZA,1978,3184.891357421875
Algeria,DZA,1979,4371.76171875
Algeria,DZA,1980,5693.3818359375
Algeria,DZA,1981,7175.91650390625
Algeria,DZA,1982,7891.85107421875
Algeria,DZA,1983,8374.3740234375
Algeria,DZA,1984,7133.53515625
Algeria,DZA,1985,6856.76123046875
Algeria,DZA,1986,7290.9130859375
Algeria,DZA,1987,7246.7998046875
Algeria,DZA,1988,7942.25341796875
Algeria,DZA,1989,7276.392578125
Algeria,DZA,1990,7574.04052734375
Algeria,DZA,1991,7298.82861328125
Algeria,DZA,1992,7360.74853515625
Algeria,DZA,1993,6460.66162109375
Algeria,DZA,1994,6669.39208984375
Algeria,DZA,1995,7031.8779296875
Algeria,DZA,1996,7097.1279296875
Algeria,DZA,1997,6523.892578125
