Entity,Code,Year,Oil per capita (kWh)
Africa,,1965,1065.9554443359375
Africa,,1966,1125.6029052734375
Africa,,1967,1093.556640625
Africa,,1968,1127.1995849609375
Africa,,1969,1120.5709228515625
Africa,,1970,1193.493408203125
Africa,,1971,1269.6685791015625
Africa,,1972,1333.913818359375
Africa,,1973,1398.6199951171875
Africa,,1974,1406.6776123046875
Africa,,1975,1438.2470703125
Africa,,1976,1531.3597412109375
Africa,,1977,1586.939208984375
Africa,,1978,1625.60986328125
Africa,,1979,1664.4344482421875
Africa,,1980,1715.496337890625
Africa,,1981,1803.7852783203125
Africa,,1982,1835.6436767578125
Africa,,1983,1860.3468017578125
Africa,,1984,1840.744384765625
Africa,,1985,1835.6614990234375
Africa,,1986,1751.80810546875
Africa,,1987,1795.3565673828125
Africa,,1988,1820.0050048828125
Africa,,1989,1831.9549560546875
Africa,,1990,1812.3319091796875
Africa,,1991,1774.489501953125
Africa,,1992,1761.4798583984375
Africa,,1993,1730.6492919921875
Africa,,1994,1746.9334716796875
Africa,,1995,1766.1153564453125
Africa,,1996,1759.6405029296875
Africa,,1997,1767.5555419921875
Africa,,1998,1765.203369140625
Africa,,1999,1787.1796875
Africa,,2000,1751.4354248046875
Africa,,2001,1724.2264404296875
Africa,,2002,1737.541748046875
Africa,,2003,1748.1431884765625
Africa,,2004,1774.932861328125
Africa,,2005,1806.3760986328125
Africa,,2006,1782.04736328125
Africa,,2007,1801.3515625
Africa,,2008,1847.7191162109375
Africa,,2009,1861.689208984375
Africa,,2010,1891.857177734375
Africa,,2011,1813.7220458984375
Africa,,2012,1870.3731689453125
Africa,,2013,1889.0081787109375
Africa,,2014,1859.83251953125
Africa,,2015,1859.83837890625
Africa,,2016,1822.63134765625
Africa,,2017,1794.767578125
Africa,,2018,1769.3115234375
Africa,,2019,1729.3004150390625
Africa,,2020,1500.115966796875
Africa,,2021,1589.780517578125
Algeria,DZA,1965,1227.424072265625
Algeria,DZA,1966,1571.2076416015625
Algeria,DZA,1967,1426.892822265625
Algeria,DZA,1968,1475.9893798828125
Algeria,DZA,1969,1515.1719970703125
Algeria,DZA,1970,1683.214111328125
Algeria,DZA,1971,1845.0498046875
Algeria,DZA,1972,1970.5240478515625
Algeria,DZA,1973,2094.251953125
Algeria,DZA,1974,2262.9140625
Algeria,DZA,1975,2446.4951171875
Algeria,DZA,1976,2734.302001953125
Algeria,DZA,1977,3003.287109375
Algeria,DZA,1978,3016.6357421875
Algeria,DZA,1979,3502.751953125
Algeria,DZA,1980,3444.158203125
Algeria,DZA,1981,3597.7607421875
Algeria,DZA,1982,3694.99755859375
Algeria,DZA,1983,4022.979736328125
Algeria,DZA,1984,4319.23486328125
Algeria,DZA,1985,4304.3828125
Algeria,DZA,1986,4242.90576171875
Algeria,DZA,1987,4168.390625
Algeria,DZA,1988,4057.222412109375
Algeria,DZA,1989,4139.88134765625
Algeria,DZA,1990,4340.703125
Algeria,DZA,1991,4190.3720703125
Algeria,DZA,1992,4117.6298828125
Algeria,DZA,1993,4007.700439453125
Algeria,DZA,1994,3758.833251953125
Algeria,DZA,1995,3586.5859375
Algeria,DZA,1996,3362.969970703125
Algeria,DZA,1997,3282.90625
Algeria,DZA,1998,3333.87158203125
Algeria,DZA,1999,3229.501953125
Algeria,DZA,2000,3322.327392578125
Algeria,DZA,2001,3394.918701171875
Algeria,DZA,2002,3716.741943359375
Algeria,DZA,2003,3817.67626953125
Algeria,DZA,2004,3938.156982421875
Algeria,DZA,2005,4048.703369140625
Algeria,DZA,2006,4157.00146484375
Algeria,DZA,2007,4577.2265625
Algeria,DZA,2008,4892.39697265625
Algeria,DZA,2009,5098.064453125
Algeria,DZA,2010,5047.9375
Algeria,DZA,2011,5243.3203125
Algeria,DZA,2012,5467.4677734375
Algeria,DZA,2013,5599.7802734375
Algeria,DZA,2014,5701.54443359375
Algeria,DZA,2015,5944.12939453125
Algeria,DZA,2016,5661.05859375
Algeria,DZA,2017,5448.5771484375
Algeria,DZA,2018,5435.3828125
Algeria,DZA,2019,5516.15185546875
Algeria,DZA,2020,4826.228515625
Algeria,DZA,2021,4927.34716796875
Argentina,ARG,1965,12419.2958984375
Argentina,ARG,1966,12619.6357421875
Argentina,ARG,1967,12734.9169921875
Argentina,ARG,1968,12809.876953125
Argentina,ARG,1969,13096.4951171875
Argentina,ARG,1970,11658.9345703125
Argentina,ARG,1971,12221.478515625
Argentina,ARG,1972,11973.015625
Argentina,ARG,1973,11862.7548828125
Argentina,ARG,1974,11668.1201171875
Argentina,ARG,1975,10874.19140625
Argentina,ARG,1976,11048.87890625
Argentina,ARG,1977,11463.4267578125
Argentina,ARG,1978,10985.1337890625
Argentina,ARG,1979,11643.158203125
Argentina,ARG,1980,10645.693359375
Argentina,ARG,1981,9829.9404296875
Argentina,ARG,1982,9203.767578125
Argentina,ARG,1983,9184.3603515625
Argentina,ARG,1984,8595.34375
Argentina,ARG,1985,7860.669921875
Argentina,ARG,1986,8134.4423828125
Argentina,ARG,1987,8547.638671875
Argentina,ARG,1988,8473.0888671875
Argentina,ARG,1989,7662.0537109375
Argentina,ARG,1990,7049.94580078125
Argentina,ARG,1991,7263.11767578125
Argentina,ARG,1992,7536.47802734375
Argentina,ARG,1993,7293.27587890625
Argentina,ARG,1994,7600.63330078125
Argentina,ARG,1995,7451.73486328125
Argentina,ARG,1996,7370.90625
Argentina,ARG,1997,7720.3076171875
Argentina,ARG,1998,7854.82568359375
Argentina,ARG,1999,7868.978515625
Argentina,ARG,2000,7184.48876953125
Argentina,ARG,2001,6580.57080078125
Argentina,ARG,2002,6178.46044921875
Argentina,ARG,2003,6233.53466796875
Argentina,ARG,2004,6616.6123046875
Argentina,ARG,2005,6858.7822265625
Argentina,ARG,2006,7160.9228515625
Argentina,ARG,2007,7906.0361328125
Argentina,ARG,2008,7910.4384765625
Argentina,ARG,2009,7486.087890625
Argentina,ARG,2010,8024.25537109375
Argentina,ARG,2011,8228.5009765625
Argentina,ARG,2012,8651.7724609375
Argentina,ARG,2013,9095.25
Argentina,ARG,2014,8910.361328125
Argentina,ARG,2015,8991.408203125
Argentina,ARG,2016,8625.775390625
Argentina,ARG,2017,8441.541015625
Argentina,ARG,2018,7962.1630859375
Argentina,ARG,2019,7251.39990234375
